Gene_ID	TET1_ALT_1	TET1_ALT_2	TET1_ALT_3	Empty_Vector_1	Empty_Vector_2	Empty_Vector_3	TET1_FL_1	TET1_FL_2	TET1_FL_3
LEPROTL1	748.47	698.011	713.545	745.248	794.02	782.476	822.495	701.392	759.051
DNA2	1454.7	1312.56	1439.42	1569.39	1536.22	1490.65	1581.93	1420.49	1688.29
SLC44A5	515.12	504.157	499.327	561.401	516.391	556.762	556.555	545.404	575.312
FBXO31	1106.99	1124.09	1165.1	1059.41	1098.18	1020.42	1011.67	1096.34	1126.53
FBXL15	316.797	370.882	450.011	260.626	281.949	289.667	328.998	393.842	289.162
ELL	659.354	635.412	696.592	611.413	582.405	627.297	545.588	600.719	513.564
DUS1L	2725.5	2881.57	2948.19	2520.32	2725.7	2626.75	2264.6	2721.49	2328.36
EDARADD	223.047	212.028	215.759	205.683	210.998	205.964	224.815	210.196	215.366
PLA2G15	403.854	437.519	439.223	381.077	406.573	365.845	364.64	375.035	341.874
FAM181B	61.2993	76.061	75.5155	61.9866	51.2072	55.4881	68.5413	73.0156	60.2421
ENPP4	729.926	642.817	699.674	745.248	779.83	758.024	891.036	709.136	840.378
PLEKHM2	1457.79	1478.81	1521.1	1365.11	1454.16	1390.02	1307.77	1459.21	1323.82
SNORD37	3.09072	7.40417	9.2468	2.11318	2.46782	0	2.74165	2.21259	3.01211
CHCHD5	154.021	160.872	189.559	140.879	143.75	123.202	180.949	155.988	155.123
RBL1	1113.69	1137.55	1083.42	1139.71	1187.64	1216.98	1332.44	1314.28	1244
NEIL1	106.115	130.583	129.455	81.7096	105.499	97.8095	139.824	140.5	146.087
ZNF675	299.8	288.763	291.274	334.587	304.159	314.119	337.223	275.468	278.62
LRRC8E	548.088	552.62	594.877	505.05	534.9	523.845	438.664	512.216	507.54
IQCJ-SCHIP1	431.512	501.171	578.83	413.18	336.642	392.939	400.095	428.479	387.692
NRAS	3956.13	3787.57	3936.05	4341.88	4067.58	4072.26	3887.66	3422.88	3810.31
ZNF780A	633.083	695.319	624.159	730.455	690.372	730.75	559.297	639.44	757.545
DENND1B	469.275	468.482	392.989	501.528	521.327	505.976	504.464	421.499	492.479
HDX	198.837	165.584	167.984	199.343	206.68	214.428	191.916	159.307	161.148
SLC2A12	489.88	485.983	439.223	517.024	509.604	513.5	652.513	621.739	730.436
RAD9B	29.877	35.0015	26.1993	35.2196	44.4207	39.5	46.6081	30.9763	31.6271
ANKRD1	18.5443	36.3477	32.3638	16.9054	16.0408	10.3452	32.8998	16.5945	28.615
ARID3A	766.499	737.725	775.19	618.457	694.691	719.464	740.246	713.562	659.651
NBPF15	89.1158	103.658	92.468	105.659	108.584	105.333	106.924	107.311	137.051
ZNF518A	1965.18	2076.53	1878.64	2237.15	2122.94	2101.02	2171.39	1916.11	2254.56
SPAST	1228.56	1158.42	1089.58	1356.66	1244.4	1273.4	1291.32	1065.36	1353.94
HMGCLL1	27.8165	24.9049	30.8227	17.6098	21.5934	24.4524	21.9332	25.4448	25.6029
FBXW5	2137.23	2234.04	2208.44	1890.59	2105.05	2049.3	1836.91	2119.67	1856.96
SFT2D3	385.825	394.44	422.27	345.153	355.366	382.774	435.922	463.538	429.225
ZNF286A	662.445	630.028	605.665	702.984	694.074	660.214	518.172	555.361	600.915
SLC12A4	563.155	614.668	586.892	529.446	534.618	562.918	561.74	690.061	633.79
H1FX	3295.74	3420.73	4218.08	2478.05	2984.83	2953.09	3449	4012.54	3454.89
METTL10	313.193	335.207	297.439	358.536	336.857	346.095	334.481	339.633	367.477
ZNF638	4460.94	4482.21	4065.51	4687.03	4622.22	4791.72	4027.48	3801.24	4337.43
KCNK1	261.166	246.357	225.005	264.147	275.162	286.845	216.59	257.767	277.114
ORC3	1236.29	1210.92	1251.4	1253.11	1335.09	1328.89	1340.67	1322.03	1507.56
PDLIM4	282.801	275.3	309.768	243.016	270.843	253.928	268.682	331.889	287.656
DSTYK	1014.79	1029.85	955.503	1110.12	1069.18	1044.87	811.529	984.604	939.777
N4BP2L2	1637.05	1622.86	1724.53	1857.48	1758.94	1737.06	1990.44	1683.78	1867.51
